user,password,codigo,nombre,apellido,tipo,grado
usuario1,123,1,Juan,Perez,MILITAR,SOLDADO
usuario2,456,2,Luis,Gomez,MILITAR,SUBOFICIAL
usuario3,789,3,Ana,Ramirez,MILITAR,OFICIAL
usuario4,000,4,Carlos,Diaz,CIVIL
usuario7,123,5,fernando,prueba,MILITAR,SOLDADO
user6,123,11,carlo,asga,MILITAR,SOLDADO
sgaga,1234,18,cargs,asgg,MILITAR,SOLDADO
214,1234,26,asfa,asda,MILITAR,SOLDADO
asga,123,29,cartlos,ortiz,MILITAR,SOLDADO
caslso,123,30,caga,asga,MILITAR,SOLDADO
asgaga,123,31,asga,aga,MILITAR,SOLDADO
asga,asgag,34,casga,casga,MILITAR,SOLDADO
carlos,asgag,37,ASGA,asgag,MILITAR,SOLDADO
casga,casca,40,casca,ascasca,MILITAR,SOLDADO
